municipio,abertura,fechamento,atividade,porte,natureza juridica
Dom Inocêncio,2016-05-06,2014-09-10,OUTRAS ATIVIDADES DE SERVIÇOS,pequena,Sociedade Anônima
João Costa,2005-04-26,2002-05-08,ATIVIDADES IMOBILIÁRIAS,mei,MEI – Microempreendedor Individual
Jardim do Mulato,2013-12-15,2002-02-28,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",mei,Sociedade Anônima
Jaicós,2001-10-25,2012-12-29,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",media/grande,Sociedade Simples Limitada
Pajeú do Piauí,2006-04-14,2001-10-04,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",media/grande,MEI – Microempreendedor Individual
São Miguel da Baixa Grande,2008-02-26,2018-05-23,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",pequena,Sociedade Simples Limitada
Agricolândia,2019-07-08,2010-12-11,INFORMAÇÃO E COMUNICAÇÃO,me,Sociedade Simples Limitada
Francisco Macedo,2016-07-04,2019-11-18,SERVIÇOS DOMÉSTICOS,media/grande,Eireli
Floriano,2001-07-26,2003-10-25,INDÚSTRIAS DE TRANSFORMAÇÃO,media/grande,Eireli
Barras,2006-04-11,2012-05-07,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",me,Sociedade Simples Limitada
São João da Serra,2021-02-15,2011-06-20,ATIVIDADES IMOBILIÁRIAS,media/grande,Sociedade Simples Limitada
Cristalândia do Piauí,2020-10-31,2002-10-01,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",media/grande,Eireli
Amarante,2020-10-17,2022-11-12,ELETRICIDADE E GÁS,me,EI – Empresário Individual
Antônio Almeida,2004-12-29,2020-05-03,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",media/grande,EI – Empresário Individual
Vera Mendes,2000-06-27,2003-10-25,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",media/grande,Sociedade Simples Limitada
Wall Ferraz.,2016-09-15,,INFORMAÇÃO E COMUNICAÇÃO,me,Sociedade Anônima
Campo Alegre do Fidalgo,2018-08-29,2013-07-10,CONSTRUÇÃO,me,Eireli
Piripiri,2013-07-18,,INDÚSTRIAS EXTRATIVAS,pequena,Sociedade Simples Limitada
Alegrete do Piauí,2015-02-16,,COMÉRCIO,media/grande,MEI – Microempreendedor Individual
Barras,2018-01-09,2005-11-22,"TRANSPORTE, ARMAZENAGEM E CORREIO",pequena,Sociedade Simples Limitada
Simplício Mendes,2012-04-12,2010-10-08,"TRANSPORTE, ARMAZENAGEM E CORREIO",me,Eireli
Conceição do Canindé,2010-06-10,2003-11-16,ATIVIDADES IMOBILIÁRIAS,mei,MEI – Microempreendedor Individual
Joaquim Pires,2004-07-22,2020-03-10,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",mei,Sociedade Simples Limitada
Floriano,2001-10-31,2001-06-13,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",mei,EI – Empresário Individual
Vila Nova do Piauí,2012-01-11,2017-05-21,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",me,EI – Empresário Individual
Uruçuí,2011-07-07,2013-10-14,EDUCAÇÃO,pequena,MEI – Microempreendedor Individual
Esperantina,2008-10-12,2002-04-16,CONSTRUÇÃO,mei,Sociedade Anônima
Socorro do Piauí,2018-08-18,2010-01-04,CONSTRUÇÃO,media/grande,Sociedade Simples Limitada
São Raimundo Nonato,2016-02-07,2017-04-04,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",media/grande,EI – Empresário Individual
Barra d'Alcântara,2012-03-31,2009-11-11,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",mei,EI – Empresário Individual
Vera Mendes,2002-11-12,2019-09-18,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",me,Sociedade Simples Limitada
Jaicós,2015-07-22,2012-02-07,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,media/grande,Eireli
Valença do Piauí,2015-04-15,2003-10-05,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",mei,MEI – Microempreendedor Individual
Lagoa do Barro do Piauí,2018-03-25,2018-08-20,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",me,MEI – Microempreendedor Individual
São Miguel da Baixa Grande,2008-08-12,2007-03-17,CONSTRUÇÃO,media/grande,MEI – Microempreendedor Individual
Oeiras,2018-04-26,2003-11-16,ALOJAMENTO E ALIMENTAÇÃO,media/grande,MEI – Microempreendedor Individual
Várzea Branca,2021-11-18,,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",mei,Eireli
Monte Alegre do Piauí,2007-03-20,2001-04-30,ALOJAMENTO E ALIMENTAÇÃO,pequena,Eireli
Campo Largo do Piauí,2006-07-11,2021-10-18,SERVIÇOS DOMÉSTICOS,mei,Sociedade Simples Limitada
Santo Inácio do Piauí,2019-03-24,,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",mei,Eireli
Sussuapara,2010-08-18,2006-05-21,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",mei,MEI – Microempreendedor Individual
Coivaras,2015-11-30,2004-05-20,OUTRAS ATIVIDADES DE SERVIÇOS,pequena,EI – Empresário Individual
Brejo do Piauí,2004-11-28,,ELETRICIDADE E GÁS,me,Sociedade Simples Limitada
Boqueirão do Piauí,2015-05-30,2002-09-27,ALOJAMENTO E ALIMENTAÇÃO,mei,Sociedade Simples Limitada
Padre Marcos,2003-12-22,2007-02-26,ATIVIDADES IMOBILIÁRIAS,me,Eireli
Francisco Macedo,2012-10-31,2017-02-18,INDÚSTRIAS DE TRANSFORMAÇÃO,media/grande,Eireli
Lagoa do Barro do Piauí,2012-11-09,,ATIVIDADES IMOBILIÁRIAS,me,MEI – Microempreendedor Individual
Angical do Piauí,2022-03-20,,CONSTRUÇÃO,media/grande,MEI – Microempreendedor Individual
Padre Marcos,2006-05-23,2024-04-06,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",media/grande,Sociedade Simples Limitada
Prata do Piauí,2023-06-21,2020-12-24,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",pequena,MEI – Microempreendedor Individual
Beneditinos,2015-09-12,2001-02-06,INFORMAÇÃO E COMUNICAÇÃO,mei,MEI – Microempreendedor Individual
Gilbués,2004-03-21,2015-07-03,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",mei,Eireli
Capitão de Campos,2018-08-20,2022-09-26,"TRANSPORTE, ARMAZENAGEM E CORREIO",mei,Sociedade Anônima
Cristalândia do Piauí,2021-08-22,2006-06-30,SAÚDE HUMANA E SERVIÇOS SOCIAIS,mei,Sociedade Simples Limitada
Joaquim Pires,2012-02-06,2007-09-02,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",mei,Eireli
São Miguel do Fidalgo,2012-01-02,2016-04-30,CONSTRUÇÃO,media/grande,Sociedade Anônima
Murici dos Portelas,2017-05-29,2015-02-20,SAÚDE HUMANA E SERVIÇOS SOCIAIS,pequena,Eireli
São Luis do Piauí,2013-05-18,,"TRANSPORTE, ARMAZENAGEM E CORREIO",me,EI – Empresário Individual
Anísio de Abreu,2011-02-02,2001-05-19,EDUCAÇÃO,media/grande,Eireli
Santo Antônio de Lisboa,2002-04-22,2015-10-20,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,mei,Sociedade Anônima
Caracol,2011-07-13,2010-04-13,EDUCAÇÃO,me,Sociedade Simples Limitada
Avelino Lopes,2016-08-29,2005-05-26,SAÚDE HUMANA E SERVIÇOS SOCIAIS,pequena,EI – Empresário Individual
Paquetá,2007-03-31,2016-02-01,CONSTRUÇÃO,pequena,Eireli
Padre Marcos,2023-10-23,2011-05-26,CONSTRUÇÃO,media/grande,EI – Empresário Individual
Corrente,2007-12-13,,SERVIÇOS DOMÉSTICOS,mei,MEI – Microempreendedor Individual
Cocal de Telha,2022-05-16,,ATIVIDADES IMOBILIÁRIAS,media/grande,Sociedade Simples Limitada
Corrente,2015-12-01,2009-02-28,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",media/grande,EI – Empresário Individual
Pedro Laurentino,2005-01-06,2008-05-03,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",media/grande,Eireli
Sussuapara,2016-07-28,2018-01-12,INFORMAÇÃO E COMUNICAÇÃO,media/grande,Sociedade Simples Limitada
Pau d'Arco do Piauí,2007-10-27,2006-08-22,ALOJAMENTO E ALIMENTAÇÃO,media/grande,Sociedade Simples Limitada
Capitão de Campos,2003-05-23,2006-03-06,CONSTRUÇÃO,mei,Eireli
Eliseu Martins,2022-06-01,2002-09-08,ELETRICIDADE E GÁS,pequena,Sociedade Anônima
São João da Canabrava,2015-04-28,2012-07-26,ELETRICIDADE E GÁS,pequena,Sociedade Simples Limitada
Campo Maior,2006-05-09,2020-04-17,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,mei,Sociedade Simples Limitada
Várzea Grande,2015-04-21,2003-07-27,"TRANSPORTE, ARMAZENAGEM E CORREIO",me,Sociedade Simples Limitada
Francisco Macedo,2009-01-15,2005-12-23,INDÚSTRIAS DE TRANSFORMAÇÃO,pequena,EI – Empresário Individual
São José do Piauí,2007-05-24,2011-10-15,SERVIÇOS DOMÉSTICOS,me,Sociedade Anônima
Avelino Lopes,2011-07-04,2013-08-04,CONSTRUÇÃO,mei,MEI – Microempreendedor Individual
João Costa,2019-06-29,2010-02-08,ELETRICIDADE E GÁS,mei,Eireli
Acauã,2016-10-10,,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",pequena,Sociedade Simples Limitada
Cocal,2001-01-14,2009-11-24,COMÉRCIO,pequena,Sociedade Simples Limitada
Landri Sales,2003-11-23,2022-08-30,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",media/grande,EI – Empresário Individual
São João do Arraial,2019-12-14,2005-10-21,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,me,Eireli
Jaicós,2002-12-19,2004-10-08,"TRANSPORTE, ARMAZENAGEM E CORREIO",pequena,Sociedade Simples Limitada
Curimatá,2006-12-23,2010-01-04,CONSTRUÇÃO,mei,Sociedade Simples Limitada
São João da Varjota,2021-10-19,2015-01-10,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",mei,Sociedade Simples Limitada
Ribeira do Piauí,2013-05-03,2012-12-09,ATIVIDADES IMOBILIÁRIAS,mei,Eireli
São Francisco do Piauí,2004-10-27,2012-07-04,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",pequena,Sociedade Anônima
Santa Cruz do Piauí,2021-05-03,2003-12-14,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",mei,EI – Empresário Individual
Lagoa do Sítio,2004-02-05,2013-08-25,INDÚSTRIAS DE TRANSFORMAÇÃO,pequena,MEI – Microempreendedor Individual
Antônio Almeida,2014-09-18,2023-04-26,ATIVIDADES IMOBILIÁRIAS,mei,Sociedade Anônima
Prata do Piauí,2010-04-29,2004-05-12,CONSTRUÇÃO,mei,Sociedade Simples Limitada
São Julião,2021-01-10,2010-11-11,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",mei,MEI – Microempreendedor Individual
Paulistana,2015-11-18,2009-07-27,INDÚSTRIAS EXTRATIVAS,me,MEI – Microempreendedor Individual
Cabeceiras do Piauí,2020-11-30,,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",mei,MEI – Microempreendedor Individual
Cajueiro da Praia,2003-06-07,2012-03-02,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",me,EI – Empresário Individual
Massapê do Piauí,2014-06-27,2010-05-29,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",pequena,Eireli
Jardim do Mulato,2019-08-14,,COMÉRCIO,pequena,EI – Empresário Individual
Jardim do Mulato,2007-09-27,2009-01-29,SAÚDE HUMANA E SERVIÇOS SOCIAIS,mei,Sociedade Anônima
Jaicós,2013-06-23,2009-01-14,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",mei,Eireli
Beneditinos,2023-03-06,2011-12-22,EDUCAÇÃO,pequena,Sociedade Simples Limitada
Colônia do Piauí,2010-09-13,,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,mei,Eireli
Ilha Grande,2020-09-14,2016-05-31,COMÉRCIO,me,Eireli
Ipirá,2009-12-14,2021-11-17,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",me,EI – Empresário Individual
Dom Expedito Lopes,2012-08-08,,CONSTRUÇÃO,mei,EI – Empresário Individual
Lagoa de São Francisco,2015-01-06,,INDÚSTRIAS EXTRATIVAS,me,Eireli
Novo Santo Antônio,2019-07-23,,COMÉRCIO,mei,Sociedade Simples Limitada
Vera Mendes,2001-12-31,2012-05-10,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,mei,EI – Empresário Individual
Pavussu,2004-09-04,,OUTRAS ATIVIDADES DE SERVIÇOS,me,Sociedade Anônima
Caracol,2010-06-21,2009-05-01,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",me,Eireli
Riacho Frio,2002-10-03,2008-07-17,INFORMAÇÃO E COMUNICAÇÃO,mei,EI – Empresário Individual
Bom Jesus,2014-11-17,,INDÚSTRIAS EXTRATIVAS,me,Eireli
Campo Grande do Piauí,2016-12-05,2020-03-12,SERVIÇOS DOMÉSTICOS,media/grande,EI – Empresário Individual
Jatobá do Piauí,2015-05-27,2004-11-09,SAÚDE HUMANA E SERVIÇOS SOCIAIS,me,MEI – Microempreendedor Individual
Alvorada do Gurguéia,2019-10-25,,EDUCAÇÃO,media/grande,Sociedade Simples Limitada
Parnaguá,2022-10-26,2018-03-03,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",pequena,EI – Empresário Individual
União,2006-01-02,2011-06-04,COMÉRCIO,pequena,Sociedade Anônima
Coivaras,2015-10-06,2009-04-26,ELETRICIDADE E GÁS,pequena,Eireli
Itainópolis,2021-03-27,,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",pequena,Sociedade Simples Limitada
Santa Cruz do Piauí,2015-12-08,2001-06-22,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",pequena,EI – Empresário Individual
Cajueiro da Praia,2001-05-02,2011-10-22,CONSTRUÇÃO,me,MEI – Microempreendedor Individual
Brasileira,2013-08-13,2023-03-09,ELETRICIDADE E GÁS,mei,Sociedade Anônima
Simões,2018-01-20,2009-04-06,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",media/grande,EI – Empresário Individual
Bom Princípio do Piauí,2015-05-22,2021-09-10,INDÚSTRIAS EXTRATIVAS,media/grande,EI – Empresário Individual
Jaicós,2011-10-17,2012-10-19,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",me,EI – Empresário Individual
Joaquim Pires,2012-12-20,2008-07-17,INDÚSTRIAS EXTRATIVAS,mei,MEI – Microempreendedor Individual
Oeiras,2022-08-24,2018-08-09,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,mei,Eireli
Colônia do Gurguéia,2003-10-22,2020-06-16,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",media/grande,EI – Empresário Individual
Curralinhos,2009-03-10,2021-06-23,ALOJAMENTO E ALIMENTAÇÃO,pequena,MEI – Microempreendedor Individual
Agricolândia,2002-03-28,,ATIVIDADES IMOBILIÁRIAS,pequena,Sociedade Simples Limitada
Juazeiro do Piauí,2020-04-22,,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",me,EI – Empresário Individual
Monte Alegre do Piauí,2004-01-23,2016-11-22,"TRANSPORTE, ARMAZENAGEM E CORREIO",me,Sociedade Anônima
Várzea Branca,2009-02-19,2016-02-25,SERVIÇOS DOMÉSTICOS,mei,Sociedade Anônima
Corrente,2019-01-20,2014-08-09,ATIVIDADES IMOBILIÁRIAS,media/grande,EI – Empresário Individual
Bocaina,2017-01-08,2019-07-31,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",pequena,Eireli
Campo Largo do Piauí,2017-11-06,2011-12-31,CONSTRUÇÃO,pequena,Eireli
Olho d'Água do Piauí,2005-04-01,2016-05-12,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",media/grande,Sociedade Simples Limitada
Morro do Chapéu do Piauí,2000-11-02,2014-05-01,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",mei,Sociedade Anônima
Betânia do Piauí,2016-04-28,2013-01-14,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,pequena,EI – Empresário Individual
Várzea Branca,2013-02-10,2005-12-04,ATIVIDADES IMOBILIÁRIAS,media/grande,MEI – Microempreendedor Individual
Pedro Laurentino,2004-05-16,2003-04-18,COMÉRCIO,media/grande,Eireli
Castelo do Piauí,2022-06-21,2004-07-20,ELETRICIDADE E GÁS,pequena,EI – Empresário Individual
Cajueiro da Praia,2013-01-27,2017-09-09,INFORMAÇÃO E COMUNICAÇÃO,mei,Eireli
Madeiro,2022-08-17,2015-02-23,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",me,EI – Empresário Individual
Eliseu Martins,2019-12-30,,COMÉRCIO,me,Sociedade Simples Limitada
Dom Inocêncio,2014-08-07,2021-11-03,OUTRAS ATIVIDADES DE SERVIÇOS,media/grande,Sociedade Simples Limitada
Jerumenha,2011-12-26,2005-10-23,ELETRICIDADE E GÁS,me,Sociedade Simples Limitada
Caxingó,2021-08-26,2006-11-02,"TRANSPORTE, ARMAZENAGEM E CORREIO",pequena,EI – Empresário Individual
Angical do Piauí,2010-02-10,2003-12-24,SERVIÇOS DOMÉSTICOS,mei,Sociedade Simples Limitada
Bertolínia,2002-06-07,2014-04-11,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",mei,Sociedade Simples Limitada
São João do Arraial,2019-01-27,2007-10-07,CONSTRUÇÃO,media/grande,Sociedade Anônima
Fartura do Piauí,2012-09-01,2013-02-09,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",media/grande,Sociedade Simples Limitada
Aroazes,2023-04-26,2017-10-11,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",me,Eireli
Cabeceiras do Piauí,2016-05-23,,EDUCAÇÃO,media/grande,Sociedade Anônima
Oeiras,2023-09-20,2004-05-27,ATIVIDADES IMOBILIÁRIAS,mei,Sociedade Simples Limitada
Angical do Piauí,2002-05-14,,ATIVIDADES IMOBILIÁRIAS,media/grande,Sociedade Anônima
Nossa Senhora de Nazaré,2019-08-14,2020-08-24,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",me,Sociedade Simples Limitada
Isaías Coelho,2023-02-13,2019-03-27,SAÚDE HUMANA E SERVIÇOS SOCIAIS,mei,MEI – Microempreendedor Individual
Parnaguá,2022-12-28,,INFORMAÇÃO E COMUNICAÇÃO,mei,Sociedade Anônima
Colônia do Piauí,2008-09-08,2022-04-23,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,pequena,MEI – Microempreendedor Individual
Nossa Senhora dos Remédios,2012-10-16,2007-12-09,ELETRICIDADE E GÁS,me,EI – Empresário Individual
Cajueiro da Praia,2005-12-24,,COMÉRCIO,pequena,MEI – Microempreendedor Individual
Massapê do Piauí,2005-09-21,2007-04-16,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",me,Eireli
Queimada Nova,2018-10-26,2013-09-18,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",me,Sociedade Simples Limitada
Queimada Nova,2009-08-25,2012-06-06,ALOJAMENTO E ALIMENTAÇÃO,me,Sociedade Anônima
Sebastião Barros,2013-09-28,2004-12-24,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",pequena,Sociedade Anônima
Caxingó,2022-09-12,2017-08-09,INFORMAÇÃO E COMUNICAÇÃO,mei,Sociedade Simples Limitada
Jaicós,2011-01-05,2004-05-08,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",pequena,Sociedade Simples Limitada
Vera Mendes,2012-02-22,2014-11-07,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",mei,Sociedade Simples Limitada
Barro Duro,2015-02-11,,SERVIÇOS DOMÉSTICOS,pequena,Sociedade Anônima
Aroazes,2018-03-12,2004-03-30,COMÉRCIO,me,Sociedade Anônima
Piripiri,2023-01-13,2023-04-06,ALOJAMENTO E ALIMENTAÇÃO,mei,Eireli
Agricolândia,2014-01-02,2005-08-10,OUTRAS ATIVIDADES DE SERVIÇOS,me,Sociedade Simples Limitada
Francinópolis,2017-05-16,2017-12-12,ALOJAMENTO E ALIMENTAÇÃO,me,Sociedade Simples Limitada
